x RMSE, y RMSE, vx RMSE, vy RMSE, NIS, Sensor
0.0672257, 0.0865557, 0.497787, 0.297886, 6.28344,0
0.067066, 0.0864288, 0.496541, 0.297528, 2.39105,1
0.0669097, 0.0862811, 0.495309, 0.297206, 0.0155968,0
0.0667439, 0.0862173, 0.494293, 0.296472, 2.36318,1
0.0665833, 0.0862484, 0.493321, 0.295756, 0.515087,0
0.0664208, 0.0862557, 0.492432, 0.29512, 4.59633,1
0.0662616, 0.0861299, 0.491559, 0.294406, 2.23422,0
0.0661242, 0.0860853, 0.490895, 0.293844, 0.591334,1
0.06599, 0.086218, 0.489879, 0.293364, 1.80183,0
0.0658383, 0.0861959, 0.488781, 0.292694, 2.0776,1
0.0657405, 0.0861037, 0.487636, 0.292082, 0.640154,0
0.0656647, 0.0860753, 0.486521, 0.291387, 1.04848,1
0.0660489, 0.0859898, 0.485394, 0.290718, 1.94818,0
0.0663343, 0.0860604, 0.484253, 0.290184, 2.49161,1
0.0663167, 0.0861611, 0.48323, 0.28966, 0.513836,0
0.0662444, 0.0861277, 0.48218, 0.289015, 1.82888,1
0.06639, 0.0860567, 0.481063, 0.28841, 0.67974,0
0.0666238, 0.0858886, 0.479957, 0.288609, 1.84115,1
0.0665015, 0.0856922, 0.479368, 0.288785, 4.48541,0
0.0664121, 0.0854997, 0.478834, 0.289474, 0.436037,1
0.0662603, 0.0853249, 0.478025, 0.290264, 0.942087,0
0.066112, 0.0851381, 0.477446, 0.28997, 1.50842,1
0.0666781, 0.0849459, 0.478317, 0.289491, 3.94709,0
0.0673349, 0.0847544, 0.479412, 0.288839, 2.68868,1
0.0679531, 0.0845644, 0.480268, 0.288196, 0.364279,0
0.0685884, 0.0843859, 0.481041, 0.287575, 3.35036,1
0.0696296, 0.084241, 0.482117, 0.286987, 0.433425,0
0.0705598, 0.0841038, 0.482876, 0.286401, 2.77573,1
0.0706566, 0.0839395, 0.482447, 0.285774, 4.77265,0
0.0708895, 0.0838012, 0.482274, 0.285446, 2.09464,1
0.070768, 0.0836836, 0.481453, 0.285059, 2.97841,0
0.0706881, 0.0835413, 0.480612, 0.284443, 1.37641,1
0.0705399, 0.0833675, 0.47963, 0.283867, 1.01572,0
0.0703922, 0.0831906, 0.47864, 0.283563, 0.986579,1
0.0702512, 0.0830212, 0.477683, 0.283089, 2.18072,0
0.0701327, 0.0828719, 0.476808, 0.282487, 0.659816,1
0.0700865, 0.0827814, 0.476062, 0.28189, 0.807341,0
0.069965, 0.0826498, 0.475155, 0.281392, 2.44905,1
0.0698517, 0.0824826, 0.474267, 0.281158, 3.77683,0
0.0697808, 0.0823111, 0.473499, 0.280574, 2.04885,1
0.0696913, 0.0821388, 0.472696, 0.280012, 0.125839,0
